name	term	lev	seq	value
"Golgi vesicle transport"	GO:0048193	2	OTAU001398-RA	0.155804401507845
"Golgi vesicle transport"	GO:0048193	2	OTAU003031-RA	1.27932590216575
"Golgi vesicle transport"	GO:0048193	2	OTAU006288-RA	1.42077740965344
"Golgi vesicle transport"	GO:0048193	2	OTAU006614-RA	2.72978186654534
"Golgi vesicle transport"	GO:0048193	2	OTAU006798-RA	0.996333312447096
"Golgi vesicle transport"	GO:0048193	2	OTAU011542-RA	1.3169752431292
"Golgi vesicle transport"	GO:0048193	2	OTAU011782-RA	1.83987321876195
"Golgi vesicle transport"	GO:0048193	2	OTAU012342-RA	1.76550537032938
"Golgi vesicle transport"	GO:0048193	2	OTAU012817-RA	0.930774900689397
"Golgi vesicle transport"	GO:0048193	2	OTAU012888-RA	2.23712803180058
"Golgi vesicle transport"	GO:0048193	2	OTAU014516-RA	2.21900096548171
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU000855-RA	0.124479650354694
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU000929-RA	0.135532633704641
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU004328-RA	1.21465519288429
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU005199-RA	0.447445615472755
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU006216-RA	0.0440221961091717
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU006406-RA	0.88162842634147
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU006718-RA	0.0736591234306784
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU010871-RA	0.895149489199554
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU011011-RA	2.43277659816084
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU014674-RA	1.42862775674294
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU014840-RA	1.505011447732
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU002808-RA	1.61873868666496
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU007369-RA	0.958377602784034
"cofactor biosynthetic process"	GO:0009108;GO:0051188	2	OTAU011498-RA	0.225858530700262
"glutamine family amino acid metabolic process"	GO:0009084;GO:0009064	6	OTAU000455-RA	0.131018114340779
"glutamine family amino acid metabolic process"	GO:0009084;GO:0009064	6	OTAU001113-RA	1.28290131969349
"glutamine family amino acid metabolic process"	GO:0009084;GO:0009064	6	OTAU005172-RA	0.84657596634267
"glutamine family amino acid metabolic process"	GO:0009084;GO:0009064	6	OTAU012084-RA	1.22303573957745
"glutamine family amino acid metabolic process"	GO:0009084;GO:0009064	6	OTAU016388-RA	2.12310708681692
"glutamine family amino acid metabolic process"	GO:0009084;GO:0009064	6	OTAU016389-RA	0.320648624384582
"glutamine family amino acid metabolic process"	GO:0009084;GO:0009064	6	OTAU011718-RA	4.87579830559152
"chromatin modification"	GO:0016568	2	OTAU002039-RA	0.723881503809046
"chromatin modification"	GO:0016568	2	OTAU005471-RA	0.0147533374875536
"chromatin modification"	GO:0016568	2	OTAU007710-RA	0.92988834878809
"chromatin modification"	GO:0016568	2	OTAU009912-RA	0.687803501877067
"chromatin modification"	GO:0016568	2	OTAU010419-RA	1.80014618086481
"chromatin modification"	GO:0016568	2	OTAU012187-RA	0.95048715342954
"chromatin modification"	GO:0016568	2	OTAU013849-RA	1.034957591039
"chromatin modification"	GO:0016568	2	OTAU016789-RA	1.28224805768996
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU000216-RA	0.104158690592642
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU000362-RA	0.258826280961183
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU000455-RA	0.131018114340779
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU000589-RA	0.0837228974688446
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU000855-RA	0.124479650354694
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU000917-RA	0.857470785409585
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU000974-RA	1.0104445106981
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU001113-RA	1.28290131969349
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU001450-RA	0.814099714573667
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU001485-RA	0.70375801915012
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU001586-RA	1.13063249608221
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU001903-RA	1.81312494102351
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU002808-RA	1.61873868666496
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU003289-RA	1.36307352231391
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU004328-RA	1.21465519288429
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU004914-RA	0.608679570423777
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU005172-RA	0.84657596634267
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU005199-RA	0.447445615472755
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU005616-RA	0.27399895906123
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU006251-RA	1.05708152117045
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU006718-RA	0.0736591234306784
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU006769-RA	0.0996393233447376
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU007369-RA	0.958377602784034
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU007466-RA	0.629672090409368
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU007615-RA	0.397295963164411
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU007645-RA	0.0761197320295207
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU007657-RA	2.26796378473589
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU007841-RA	3.1418851848693
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU008764-RA	1.46446592571831
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU009238-RA	0.057599041428708
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU010911-RA	3.37806159284549
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU010965-RA	3.45083767056229
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU011011-RA	2.43277659816084
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU011498-RA	0.225858530700262
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU012084-RA	1.22303573957745
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU012243-RA	1.04254000932202
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU012479-RA	0.446301973680281
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU012768-RA	0.13779338723733
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU012994-RA	0.061497366802142
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU013085-RA	0.767876682225638
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU013086-RA	3.20499116859707
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU014356-RA	1.17075946835814
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU014410-RA	0.205856405061236
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU014674-RA	1.42862775674294
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU014840-RA	1.505011447732
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU015330-RA	0.0053289274385332
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU015362-RA	1.07553976924738
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU016388-RA	2.12310708681692
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU016389-RA	0.320648624384582
"organonitrogen compound biosynthetic process"	GO:1901566	4	OTAU017312-RA	0.351581828494012
"organophosphate biosynthetic process"	GO:0009165;GO:1901293;GO:0090407	4	OTAU000589-RA	0.0837228974688446
"organophosphate biosynthetic process"	GO:0009165;GO:1901293;GO:0090407	4	OTAU000917-RA	0.857470785409585
"organophosphate biosynthetic process"	GO:0009165;GO:1901293;GO:0090407	4	OTAU000974-RA	1.0104445106981
