OTAU000002-RA	GO:0005524;GO:0005737;GO:0004820;GO:0006426;GO:0071816
OTAU000008-RA	GO:0016020;GO:0046872;GO:0008236
OTAU000009-RA	GO:0016020;GO:0046872;GO:0008236
OTAU000013-RA	GO:0005525;GO:0005622;GO:0016020;GO:0007264
OTAU000015-RA	GO:0051539;GO:0003994
OTAU000016-RA	GO:0050661;GO:0006098;GO:0004616
OTAU000025-RA	GO:0005634;GO:0043565;GO:0003700;GO:0006351
OTAU000029-RA	GO:0046872;GO:0003676;GO:0005634;GO:0006357;GO:0010038;GO:0003700;GO:0055076
OTAU000030-RA	GO:0019843;GO:0005840;GO:0003735;GO:0006412
OTAU000032-RA	GO:0008234
OTAU000035-RA	GO:0046872;GO:0003676
OTAU000043-RA	GO:0001104;GO:0016592
OTAU000047-RA	GO:0008270
OTAU000052-RA	GO:0008234;GO:0006511;GO:0036459
OTAU000057-RA	GO:0005524;GO:0046872;GO:0006457;GO:0009408
OTAU000058-RA	GO:0003913;GO:0006281
OTAU000062-RA	GO:0005262;GO:0030285;GO:0048488
OTAU000079-RA	GO:0016887;GO:0005858;GO:0003341;GO:0004368;GO:0009331;GO:0006072;GO:0003777
OTAU000081-RA	GO:0005794;GO:0008378;GO:0016021;GO:0006486
OTAU000082-RA	GO:0003824
OTAU000085-RA	GO:0015991;GO:0015078;GO:0033179
OTAU000089-RA	GO:0007165
OTAU000091-RA	GO:0005737;GO:0005634;GO:0006606;GO:0008565
OTAU000094-RA	GO:0005622;GO:0005215
OTAU000099-RA	GO:0051726
OTAU000101-RA	GO:0003723;GO:0006397;GO:0000166;GO:0005634
OTAU000103-RA	GO:0003676;GO:0005634;GO:0003700;GO:0008270
OTAU000108-RA	GO:0005737;GO:0003743
OTAU000109-RA	GO:0005262;GO:0034704
OTAU000110-RA	GO:0005262;GO:0034704
OTAU000111-RA	GO:0004104
OTAU000120-RA	GO:0042302
OTAU000121-RA	GO:0042302
OTAU000122-RA	GO:0008168
OTAU000124-RA	GO:0005581;GO:0005201;GO:0005578
OTAU000125-RA	GO:0005581;GO:0005201;GO:0005578
OTAU000132-RA	GO:0003723
OTAU000139-RA	GO:0004069;GO:0080130;GO:0009058;GO:0006520;GO:0030170
OTAU000144-RA	GO:0046872;GO:0003676
OTAU000148-RA	GO:0003824;GO:0005977
OTAU000153-RA	GO:0046872;GO:0003676
OTAU000154-RA	GO:0016758
OTAU000164-RA	GO:0005634;GO:0003708;GO:0043565;GO:0003707;GO:0006351;GO:0008270
OTAU000166-RA	GO:0005622;GO:0006886;GO:0006913;GO:0008565
OTAU000167-RA	GO:0016021;GO:0022857
OTAU000188-RA	GO:0004930;GO:0007166;GO:0016021
OTAU000194-RA	GO:0005245;GO:0005891
OTAU000201-RA	GO:0005524;GO:0042626;GO:0016021
OTAU000202-RA	GO:0005524;GO:0042626;GO:0016021
OTAU000205-RA	GO:0016020;GO:0005044;GO:0004252
OTAU000216-RA	GO:0004357;GO:0006750
OTAU000247-RA	GO:0046872
OTAU000251-RA	GO:0008762;GO:0050660
OTAU000255-RA	GO:0000139
OTAU000258-RA	GO:0005524;GO:0003774;GO:0016459
OTAU000261-RA	GO:0031071;GO:0006534;GO:0030170
OTAU000265-RA	GO:0016874;GO:0008270
OTAU000276-RA	GO:0016021
OTAU000277-RA	GO:0005085;GO:0005622;GO:0007264
OTAU000291-RA	GO:0008270
OTAU000294-RA	GO:0005634;GO:0042254
OTAU000306-RA	GO:0003677;GO:0005634;GO:0006355;GO:0006351
OTAU000321-RA	GO:0020037;GO:0005506;GO:0016705
OTAU000322-RA	GO:0020037;GO:0005506;GO:0004497;GO:0016705
OTAU000325-RA	GO:0003676;GO:0000166
OTAU000330-RA	GO:0030054;GO:0005234;GO:0016021;GO:0004970;GO:0045211
OTAU000333-RA	GO:0019239;GO:0005615
OTAU000341-RA	GO:0031463;GO:0007283
OTAU000344-RA	GO:0005509
OTAU000349-RA	GO:0046872
OTAU000358-RA	GO:0008137
OTAU000362-RA	GO:0003839;GO:0006750
OTAU000365-RA	GO:0005840;GO:0003735;GO:0006412
OTAU000367-RA	GO:0005096;GO:0046872
OTAU000368-RA	GO:0007010;GO:0008270
OTAU000369-RA	GO:0008270
OTAU000371-RA	GO:0046872;GO:0019843;GO:0005840;GO:0003735;GO:0006412
OTAU000373-RA	GO:0005524;GO:0005622;GO:0035556;GO:0046872;GO:0004697
OTAU000379-RA	GO:0005524;GO:0004672
OTAU000380-RA	GO:0016021;GO:0006810
OTAU000381-RA	GO:0051287;GO:0004450;GO:0006102;GO:0000287;GO:0006099
OTAU000382-RA	GO:0016282;GO:0033290;GO:0005852;GO:0001731;GO:0000166;GO:0006446;GO:0003743
OTAU000390-RA	GO:0005524;GO:0004672
OTAU000394-RA	GO:0016020;GO:0046873
OTAU000396-RA	GO:0003677;GO:0005634;GO:0006351
OTAU000400-RA	GO:0020037;GO:0005506;GO:0004497;GO:0016705
OTAU000403-RA	GO:0003824
OTAU000410-RA	GO:0004725
OTAU000414-RA	GO:0003677;GO:0005634
OTAU000417-RA	GO:0007275
OTAU000423-RA	GO:0005089;GO:0035023
OTAU000424-RA	GO:0016021
OTAU000427-RA	GO:0005975;GO:0000287;GO:0004610
OTAU000429-RA	GO:0006633;GO:0016021;GO:0016740
OTAU000433-RA	GO:0006084;GO:0003824
OTAU000443-RA	GO:0016021;GO:0055114
OTAU000445-RA	GO:0004725
OTAU000452-RA	GO:0016021
OTAU000454-RA	GO:0005524;GO:0016301
OTAU000455-RA	GO:0005524;GO:0004356;GO:0006542
OTAU000461-RA	GO:0008061;GO:0006030;GO:0005576
OTAU000463-RA	GO:0004930;GO:0016021
OTAU000468-RA	GO:0042578
OTAU000472-RA	GO:0000159;GO:0008601;GO:0007165
OTAU000480-RA	GO:0016021;GO:0005328
OTAU000483-RA	GO:0016021
OTAU000490-RA	GO:0016021;GO:0005267
OTAU000492-RA	GO:0005524;GO:0004703;GO:0007165;GO:0038032
OTAU000494-RA	GO:0015171;GO:0016021
OTAU000507-RA	GO:0004177;GO:0005737;GO:0030145;GO:0008235
OTAU000510-RA	GO:0016021;GO:0055085;GO:0005215
OTAU000512-RA	GO:0042302
OTAU000515-RA	GO:0016021
OTAU000519-RA	GO:0005524;GO:0005388;GO:0016021;GO:0046872;GO:0033017
OTAU000523-RA	GO:0045454;GO:0005783;GO:0003756
OTAU000528-RA	GO:0003824
OTAU000529-RA	GO:0005524;GO:0008026;GO:0003676
OTAU000531-RA	GO:0005622;GO:0006886
OTAU000533-RA	GO:0016021
OTAU000538-RA	GO:0005524;GO:0004692
OTAU000542-RA	GO:0016787
OTAU000544-RA	GO:0016021;GO:0055085
OTAU000555-RA	GO:0008289
OTAU000556-RA	GO:0005975;GO:0016868;GO:0000287
OTAU000560-RA	GO:0005975;GO:0050277
OTAU000569-RA	GO:0016787
OTAU000570-RA	GO:0005840;GO:0003735;GO:0006412
OTAU000571-RA	GO:0005524;GO:0005871;GO:0005874;GO:0003777;GO:0007018
OTAU000576-RA	GO:0015020;GO:0016021
